saved_stream;ssim
savedStreams/360x_output-h264_h1_to_h2_SD.mp4;Y:0.672096 (4.842539) U:0.674707 (4.877255) V:0.669221 (4.804625) All:0.672052 (4.841955)
savedStreams/720x_output-h264_h3_to_h4_HD.mp4;Y:0.708628 (5.355528) U:0.720045 (5.529122) V:0.723994 (5.590819) All:0.713092 (5.422577)
