saved_stream;ssim
savedStreams/360x_output-h264_h1_to_h2_SD.mp4;Y:0.693118 (5.130287) U:0.687271 (5.048314) V:0.712452 (5.412899) All:0.695366 (5.162214)
savedStreams/720x_output-h264_h3_to_h4_HD.mp4;Y:0.708628 (5.355528) U:0.720045 (5.529122) V:0.723994 (5.590819) All:0.713092 (5.422577)
