saved_stream;ssim
savedStreams/360x_output-h264_h1_to_h2_SD.mp4;Y:0.075640 (0.341589) U:0.061429 (0.275327) V:0.022525 (0.098944) All:0.064419 (0.289186)
savedStreams/720x_output-h264_h3_to_h4_HD.mp4;Y:0.023268 (0.102247) U:0.015834 (0.069317) V:0.011599 (0.050670) All:0.020084 (0.088114)
