saved_stream;ssim
savedStreams/360x_output-h264_h1_to_h2_SD.mp4;Y:0.498601 (2.998167) U:0.641532 (4.455493) V:0.738216 (5.820575) All:0.562359 (3.588818)
savedStreams/720x_output-h264_h3_to_h4_HD.mp4;
