saved_stream;ssim
savedStreams/360x240_2mb_10mb_link_h1_to_h2_qos_4hosts.mp4;Y:0.878492 (9.153958) U:0.934986 (11.869964) V:0.952398 (13.223721) All:0.900226 (10.009805)
savedStreams/720x480_5mb_10mb_link_h3_to_h4_qos_4hosts.mp4;Y:0.900217 (10.009439) U:0.965707 (14.647981) V:0.977554 (16.488596) All:0.924022 (11.193100)
