saved_stream;ssim
savedStreams/360x240_2mb_1mb_link_h1_to_h2_qos_4hosts.mp4;Y:0.896801 (9.863236) U:0.943226 (12.458480) V:0.957349 (13.700686) All:0.914630 (10.686928)
savedStreams/720x480_5mb_1mb_link_h3_to_h4_qos_4hosts.mp4;Y:0.905505 (10.245905) U:0.962904 (14.306762) V:0.976227 (16.239154) All:0.926858 (11.358360)
