captured_trace;bitrate;duration;packet_count;delay
capturedTraces/360x240_2mb_10mb_link_h1_to_h2_qos_4hosts.pcap.pcapng;256;25.688765;610;42.11272950819672131147
capturedTraces/720x480_5mb_10mb_link_h3_to_h4_qos_4hosts.pcap.pcapng;456;35.592479;1249;28.49678062449959967974
