saved_stream;ssim
savedStreams/360x240_2mb_10mb_link_h1_to_h2_qos_4hosts.mp4;Y:0.323202 (1.695408) U:0.604663 (4.030323) V:0.706317 (5.321215) All:0.433965 (2.471564)
savedStreams/720x480_5mb_10mb_link_h3_to_h4_qos_4hosts.mp4;Y:0.238038 (1.180668) U:0.377905 (2.061432) V:0.416914 (2.342677) All:0.291162 (1.494530)
