captured_trace;bitrate;duration;packet_count;delay
capturedTraces/360x240_2mb_1mb_link_h1_to_h2_qos_4hosts.pcap;245;24.241330;543;44.64333333333333333333
capturedTraces/720x480_5mb_1mb_link_h3_to_h4_qos_4hosts.pcap;442;30.553502;1234;24.75972609400324149108
